
zer0                 | 100.8m / 187.5m (53% full)  | 10.9 / 8  (100.0%) | 0.9s/growth (40 over 39s)
max-hardware         |  99.1m / 250.0m (39% full)  | 5.0 / 5  (100.0%) | 0.7s/growth (30 over 23s)
iron-gym             | 103.2m / 500.0m (20% full)  | 10.0 / 10 (100.0%) | 2.3s/growth (20 over 46s)
phantasy             |   6.2m / 600.0m (1% full)   | 7.0 / 7  (100.0%) | 0.9s/growth (35 over 34s)
crush-fitness        |   1.0b / 1.0b   (100% full) | 12.0 / 12 (100.0%) | 3.7s/growth (32 over 119s)
silver-helix         | 887.8m / 1.1b   (78% full)  | 12.4 / 10 (100.0%) | 2.6s/growth (30 over 79s)
omega-net            | 627.0m / 1.7b   (37% full)  | 11.0 / 11 (100.0%) | 3.2s/growth (30 over 96s)
johnson-ortho        |   1.1b / 1.8b   (60% full)  | 17.3 / 17 (100.0%) | 3s/growth (65 over 195s)
the-hub              |   4.9b / 4.9b   (100% full) | 15.0 / 15 (100.0%) | 3.4s/growth (50 over 173s)
computek             |   2.5b / 5.6b   (44% full)  | 20.5 / 19 ( 90.9%) | 4.5s/growth (60 over 272s)
summit-uni           |   5.7b / 5.7b   (100% full) | 21.6 / 19 ( 76.6%) | 7.2s/growth (50 over 364s)
rothman-uni          |   2.3b / 5.8b   (39% full)  | 16.0 / 16 ( 87.4%) | 6s/growth (41 over 249s)
millenium-fitness    |   2.0m / 6.3b   (0% full)   | 19.8 / 16 ( 68.6%) | 8.7s/growth (44 over 386s)
aevum-police         |   6.7b / 6.7b   (100% full) | 31.2 / 25 ( 70.4%) | 13.6s/growth (36 over 491s)
netlink              |   6.9b / 6.9b   (100% full) | 21.0 / 21 ( 81.5%) | 6.1s/growth (54 over 329s)
catalyst             |  11.5b / 11.5b  (100% full) | 32.4 / 23 ( 68.5%) | 16.6s/growth (31 over 516s)
syscore              | 588.5m / 14.7b  (4% full)   | 79.0 / 26 ( 15.8%) | 26s/growth (65 over 1692s)
rho-construction     |  17.4b / 17.4b  (100% full) | 21.2 / 17 ( 69.0%) | 9.1s/growth (44 over 403s)
alpha-ent            | 715.5m / 17.9b  (4% full)   | 63.0 / 21 ( 28.3%) | 24.3s/growth (55 over 1336s)

n00dles              |   1.1m / 1.8m   (62% full)  | 1.1 / 1  (100.0%) | 0s/growth (3000 over 7s)
foodnstuff           |  50.0m / 50.0m  (100% full) | 3.0 / 3  (100.0%) | 1.5s/growth (5 over 7s)
sigma-cosmetics      |  57.5m / 57.5m  (100% full) | 3.0 / 3  (100.0%) | 0.8s/growth (10 over 8s)
